"Date","Loop","Whitesheet.Filename","Whitesheet.Entry.Number","Time","Latitude","Longitude","Species","Multispecies","Sun","Wind","Rain","Activity","Grass.height","Grass.color","Grass.spp.1","Grass.spp.2","Grass.spp.3","Grass.spp.4","Bush.type","Photos.begin","Photos.end","Total.animals","Male..T.","Male..B.","Female..NL.","Female..L.","Female..P.","X2.year.old","X1.year.old","X6.12.months.old","X3.6.months.old","X1.3.months.old","X0.1.months.old","Notes","Distance.from.water","Distance.from.cattle","Closest.mob.size","NDVI","EVI","Year","Month","Day","Hour","Minute","Other.species.1","Other.species.2","Other.species.3","Number.grasses"
"6/15/21","2","DSCN6973","3","956",0.496988257,36.85154497,"GZ","1","full","no wind","no rain","Walking","hoof","brown","Pennisetum stramineum","Cynodon plectostachyus","Eragrostis tenuifolia","Microchloa kunthii","light","6745","6874","5","","5","","","","","","","","","","","0.003325998","0.001912347","162",0.4111,0.2412,"2021","6","15","9","56","Impala","","","4"
"6/15/21","2","DSCN6973","3","956",0.496988257,36.85154497,"PZ","1","full","no wind","no rain","Walking","hoof","brown","Pennisetum stramineum","Cynodon plectostachyus","Eragrostis tenuifolia","Microchloa kunthii","light","6745","6874","47","","","","","","","","","","","","","0.003325998","0.001912347","162",0.4111,0.2412,"2021","6","15","9","56","Impala","","","4"
"6/15/21","2","DSCN6974","1","1013",0.495705957,36.84342744,"GZ","0","full","light","no rain","Walking","belly","green with some brown","Chloris roxburghiana","Pennisetum stramineum","Pennisetum mezzianum","Enteropogon macrostachyus","medium","6875","6877","2","","2","","","","","","","","","","","0.000438568","0.001486385","240",0.4368,0.2656,"2021","6","15","10","13","Impala","","","4"
"6/15/21","2","DSCN6974","3","1045",0.493172361,36.84788146,"PZ","0","full","no wind","no rain","Walking","hoof","brown","Cynodon plectostachyus","Pennisetum stramineum","Chloris roxburghiana","Eragrostis tenuifolia","medium","6878","6905","11","","1","1","1","1","1","1","","","","","","0.000794678","0.002008969","200",0.3867,0.2382,"2021","6","15","10","45","","","","4"
"6/15/21","2","DSCN6975","1","1104",0.499025815,36.84902968,"GZ","0","full","no wind","no rain","Walking","hoof","brown","Cynodon plectostachyus","Chloris roxburghiana","Pennisetum stramineum","Digitaria macroblefara","light","6906","6962","13","","","6","1","2","3","","","1","","","","0.001112832","0","150",0.4542,0.2837,"2021","6","15","11","4","","","","4"
"6/15/21","2","DSCN6975","1","1104",0.499025815,36.84902968,"Cattle","","full","no wind","no rain","Walking","hoof","brown","Cynodon plectostachyus","Chloris roxburghiana","Pennisetum stramineum","Digitaria macroblefara","light","6906","6962","150","","","","","","","","","","","","","0.001112832","0","150",0.4542,0.2837,"2021","6","15","11","4","","","","4"
"6/15/21","2","DSCN6975","2","1115",0.49365844,36.85341138,"GZ","0","full","medium","no rain","Walking","hock","green with some brown","Pennisetum mezzianum","Pennisetum stramineum","Enteropogon macrostachyus","Cynodon dactylon","medium","6963","6971","2","","","","1","","","","","1","","","","0.004710448","0.004411563","200",0.4084,0.2336,"2021","6","15","11","15","Impala","","","4"
"6/16/21","1","DSCN7375","1","1004",0.461936139,36.83563783,"PZ","0","full","no wind","no rain","Grazing","hock","brown","Cymbopogon pospischilii","Digitaria macroblefara","Heteropogon contortus","Pennisetum stramineum","light","6976","6992","8","1","","","3","1","","","","1","2","","","0.007404442","0.003976948","80",0.4146,0.2549,"2021","6","16","10","4","Giraffe","","","4"
"6/16/21","1","DSCN7375","2","1036",0.474922977,36.84245038,"GZ","0","part","light","no rain","Walking","hock","brown","Cenchrus ciliaris","Chloris roxburghiana","Eragrostis tenuifolia","Enteropogon macrostachyus","light","6992","7023","11","","","1","","","10","","","","","","","0.001674325","0.00685534","300",0.4188,0.2458,"2021","6","16","10","36","Giraffe","","","4"
"6/16/21","1","DSCN7375","3","1058",0.476837941,36.84171448,"GZ","0","part","no wind","no rain","Resting","hoof","brown","Enteropogon macrostachyus","Pennisetum stramineum","Eragrostis tenuifolia","Cynodon plectostachyus","light","7024","7124","13","1","","1","4","1","5","","","1","","","","0.0026709","0.00541772","300",0.3884,0.2267,"2021","6","16","10","58","","","","4"
"6/16/21","1","DSCN7376","1","1108",0.479435281,36.84292658,"GZ","1","part","light","no rain","Grazing","hoof","brown","Pennisetum stramineum","Pennisetum mezzianum","Cynodon plectostachyus","Microchloa kunthii","light","7125","7166","3","","3","","","","","","","","","","","0.001423404","0.002593628","300",0.3655,0.2176,"2021","6","16","11","8","","","","4"
"6/16/21","1","DSCN7376","1","1108",0.479435281,36.84292658,"PZ","1","part","light","no rain","Grazing","hoof","brown","Pennisetum stramineum","Pennisetum mezzianum","Cynodon plectostachyus","Microchloa kunthii","light","7125","7166","13","","","","","","","","","","","","","0.001423404","0.002593628","300",0.3655,0.2176,"2021","6","16","11","8","","","","4"
"6/16/21","1","DSCN7376","2","1123",0.462980719,36.84841126,"PZ","0","part","no wind","no rain","Walking","hoof","brown","Pennisetum stramineum","Pennisetum mezzianum","Eragrostis racemosa","Cymbopogon pospischilii","light","7167","7170","2","1","","1","","","","","","","","","","0.003230413","0.006303119","240",0.4188,0.2464,"2021","6","16","11","23","Impala","","","4"
"6/16/21","1","DSCN7376","3","1133",0.450641962,36.84426864,"GZ","0","part","no wind","no rain","Grazing","hock","brown","Pennisetum mezzianum","Pennisetum stramineum","Cynodon plectostachyus","Eragrostis tenuifolia","light","7171","7176","1","1","","","","","","","","","","","","0.001002709","0.012087868","100",0.3635,0.2071,"2021","6","16","11","33","","","","4"
"6/16/21","2","DSCN7378","1","1159",0.47823054,36.85956712,"PZ","0","part","no wind","no rain","Grazing","hoof","brown","Pennisetum stramineum","Cynodon dactylon","Cynodon plectostachyus","Eragrostis tenuifolia","light","7177","7210","13","1","2","","5","","","","","","5","","","0.00319769","0.000573276","300",0.4474,0.2681,"2021","6","16","11","59","","","","4"
"6/16/21","2","DSCN7378","2","1210",0.496944089,36.85408539,"PZ","0","part","no wind","no rain","Resting","hoof","brown","Cynodon plectostachyus","Eragrostis tenuifolia","Chloris roxburghiana","","light","7211","7216","4","","4","","","","","","","","","","","0.004784658","0.002524235","350",0.4111,0.2423,"2021","6","16","12","10","","","","3"
"6/16/21","2","DSCN7379","2","1233",0.506569265,36.8427715,"GZ","1","part","no wind","no rain","Grazing","hock","brown","Pennisetum stramineum","Pennisetum mezzianum","Cynodon plectostachyus","Chloris virgata","light","7217","7267","8","","2","3","","2","1","","","","","","","0.002614663","0.006620243","300",0.53,0.3216,"2021","6","16","12","33","Elephant","","","4"
"6/16/21","2","DSCN7379","2","1233",0.506569265,36.8427715,"PZ","1","part","no wind","no rain","Grazing","hock","brown","Pennisetum stramineum","Pennisetum mezzianum","Cynodon plectostachyus","Chloris virgata","light","7217","7267","21","","","","","","","","","","","","","0.002614663","0.006620243","300",0.53,0.3216,"2021","6","16","12","33","Elephant","","","4"
"6/16/21","2","DSCN7379","3","1245",0.502497602,36.842789,"GZ","0","part","no wind","no rain","Standing","hoof","brown","Cynodon plectostachyus","Cynodon dactylon","Eragrostis tenuifolia","Pennisetum stramineum","light","7268","7278","2","","","","","","","","","1","1","","","0.002450282","0.00341008","300",0.4623,0.281,"2021","6","16","12","45","","","","4"
"6/16/21","2","DSCN7380","1","1257",0.494742247,36.84913502,"PZ","0","part","no wind","no rain","Walking","hoof","brown","Cynodon plectostachyus","Eragrostis tenuifolia","Chloris roxburghiana","Chloris virgata","light","7278","7310","13","","","","","","","","","","","","","0.000488901","0","200",0.429,0.2617,"2021","6","16","12","57","","","","4"
"6/16/21","2","DSCN7380","2","1303",0.489298872,36.84842902,"PZ","1","part","no wind","no rain","Standing","hoof","brown","Cyperus teneristolon","Cynodon plectostachyus","Chloris virgata","Pennisetum stramineum","light","7311","7357","16","2","","","6","2","","","2","2","2","","","0.001779694","0.001876624","220",0.3708,0.2249,"2021","6","16","13","3","","","","4"
"6/16/21","2","DSCN7380","2","1303",0.489298872,36.84842902,"GZ","1","part","no wind","no rain","Standing","hoof","brown","Cyperus teneristolon","Cynodon plectostachyus","Chloris virgata","Pennisetum stramineum","light","7311","7357","1","","","","","","1","","","","","","","0.001779694","0.001876624","220",0.3708,0.2249,"2021","6","16","13","3","","","","4"
"6/16/21","2","DSCN7381","1","1326",0.453489833,36.85927947,"GZ","0","part","no wind","no rain","Resting","hock","brown","Pennisetum stramineum","Pennisetum mezzianum","Chloris roxburghiana","Enteropogon macrostachyus","medium","7358","7374","3","","","1","","2","","","","","","","","0.008448024","0.014639076","120",0.3668,0.215,"2021","6","16","13","26","","","","4"
"6/18/21","1","DSCN7109","1","1046",0.478802341,36.84667688,"GZ","0","full","light","no rain","Grazing","hoof","brown with some green","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","","light","7564","7584","5","1","","1","","1","1","","","","1","","","0.000499807","0.001584713","240",0.4553,0.2709,"2021","6","18","10","46","","","","3"
"6/18/21","1","DSCN7109","2","1054",0.478525048,36.84778555,"GZ","0","full","light","no rain","Walking","hoof","green with some brown","Cynodon dactylon","Pennisetum stramineum","Cynodon nlemfuensis","Microchloa kunthii","medium","7585","7600","9","1","","","4","","","","2","2","","","","0.002904219","0.001357574","300",0.4553,0.2709,"2021","6","18","10","54","","","","4"
"6/18/21","1","DSCN7110","1","1110",0.467659731,36.85018788,"GZ","0","full","light","no rain","Grazing","hock","brown","Pennisetum stramineum","Pennisetum mezzianum","Microchloa kunthii","Chloris roxburghiana","medium","7601","7608","1","1","","","","","","","","","","","Looking sick and emaciated","0.007293314","0","200",0.4168,0.2468,"2021","6","18","11","10","","","","4"
"6/21/21","2","DSCN7107","2","1008",0.479303033,36.86117933,"PZ","0","no sun","light","no rain","Walking","hoof","brown","Pennisetum stramineum","Cynodon nlemfuensis","Microchloa kunthii","","medium","7609","7613","8","1","","","2","","","","","2","","","","0.008092981","0","162",0.4633,0.2848,"2021","6","21","10","8","","","","3"
"6/21/21","2","DSCN7107","3","1020",0.483049598,36.86025661,"GZ","1","full","light","no rain","Grazing","hoof","brown","Cynodon plectostachyus","Pennisetum stramineum","Microchloa kunthii","","light","7614","7662","12","1","","","4","1","","","","2","1","1","","0.006602947","0.00232235","200",0.4875,0.2943,"2021","6","21","10","20","Oryx","","","3"
"6/21/21","2","DSCN7107","3","1020",0.483049598,36.86025661,"PZ","1","full","light","no rain","Grazing","hoof","brown","Cynodon plectostachyus","Pennisetum stramineum","Microchloa kunthii","","light","7614","7662","8","","","1","2","1","1","1","2","","","","","0.002360377","0","220",0.4875,0.2943,"2021","6","21","10","20","Oryx","","","3"
"6/21/21","2","DSCN7108","2","1051",0.488250397,36.8572875,"PZ","0","full","light","no rain","Standing","hoof","brown","Pennisetum mezzianum","Pennisetum stramineum","Cynodon plectostachyus","Enteropogon macrostachyus","light","7663","7689","30","","","","","","","","","","","","","","","",0.4646,0.2936,"2021","6","21","10","51","","","","4"
