"Date","Loop","Whitesheet.Filename","Whitesheet.Entry.Number","Time","Latitude","Longitude","Species","Multispecies","Sun","Wind","Rain","Activity","Grass.height","Grass.color","Grass.spp.1","Grass.spp.2","Grass.spp.3","Grass.spp.4","Bush.type","Photos.begin","Photos.end","Total.animals","Male..T.","Male..B.","Female..NL.","Female..L.","Female..P.","X2.year.old","X1.year.old","X6.12.months.old","X3.6.months.old","X1.3.months.old","X0.1.months.old","Notes","Distance.from.water","Distance.from.cattle","Closest.mob.size","NDVI","EVI","Year","Month","Day","Hour","Minute","Other.species.1","Other.species.2","Other.species.3","Number.grasses"
"6/3/21","2","DSCN2514","2","1103",0.478243289,36.8614674,"PZ","0","full","light","no rain","Grazing","hock","brown with some green","Cynodon nlemfuensis","Cynodon plectostachyus","Enteropogon macrostachyus","Enteropogon macrostachyus","light","1603","1624","12","2","2","","7","","","","1","3","2","","","0.001305914","0.002049554","300",0.4681,0.2878,"2021","6","3","11","3","Giraffe","","","4"
"6/3/21","2","DSCN2514","3","1116",0.470072435,36.86202857,"PZ","0","full","light","no rain","Walking","hoof","brown with some green","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","Pennisetum mezzianum","open grassland","1625","1697","33","3","","8","10","1","","1","3","4","3","","Photos up to 1741, see sheet for additional info","0.002729917","0.003802694","120",0.4025,0.2364,"2021","6","3","11","16","Eland"," Giraffe","","4"
"6/3/21","2","DSCN2515","1","1126",0.478855584,36.86247627,"GZ","0","full","light","no rain","Grazing","hoof","green","Digitaria macroblefara","Pennisetum mezzianum","Pennisetum stramineum","Microchloa kunthii","medium","1698","1787","17","1","2","2","4","2","","1","1","2","2","","","0.000423811","0.003204927","300",0.4681,0.2878,"2021","6","3","11","26","","","","4"
"6/3/21","2","DSCN2515","2","1137",0.04600112,36.85658199,"GZ","0","full","light","no rain","Walking","hoof","brown with some green","Cynodon plectostachyus","Pennisetum mezzianum","Cynodon nlemfuensis","Cyperus","light","1788","1816","5","0","1","","2","","","","","1","1","","","0.208812658","0.410351331","250",0.4146,0.1835,"2021","6","3","11","37","Eland"," Impala","","4"
"6/3/21","2","DSCN2515","3","1148",0.50163067,36.85006329,"GZ","0","full","light","no rain","Standing","hock","green with some brown","Cynodon plectostachyus","Pennisetum mezzianum","Pennisetum stramineum","Microchloa kunthii","medium","1817","1820","1","1","","","","","","","","","","","","0.002762051","0.000696026","150",0.449,0.2764,"2021","6","3","11","48","Elephant","","","4"
"6/3/21","2","DSCN2516","1","1158",0.497019943,36.83998142,"GZ","0","full","light","no rain","Grazing","hock","green with some brown","Cenchrus ciliaris","Enteropogon macrostachyus","Chloris roxburghiana","Cynodon plectostachyus","light","1821","1891","20","1","","10","","4","4","1","","","","","","0.003993581","0.003605213","240",0.3994,0.2444,"2021","6","3","11","58","Impala","","","4"
"6/3/21","2","DSCN2516","2","1302",0.47880626,36.84758671,"PZ","0","full","light","no rain","Grazing","hock","green with some brown","Cynodon nlemfuensis","Pennisetum mezzianum","Enteropogon macrostachyus","Cynodon plectostachyus","light","1892","1959","20","3","1","4","6","3","1","","2","3","","1","","0.002080663","0.004007417","300",0.4553,0.2709,"2021","6","3","13","2","Elephant","","","4"
"6/3/21","2","DSCN2516","3","1314",0.481024214,36.8440771,"PZ","1","full","light","no rain","Drinking","hoof","green with some brown","Cynodon dactylon","Pennisetum mezzianum","Pennisetum stramineum","Cynodon nlemfuensis","light","1960","2003","36","","","","","","","","","","","","","2.3e-05","0.000645715","300",0.4314,0.2583,"2021","6","3","13","14","Impala","","","4"
"6/3/21","2","DSCN2516","3","1314",0.481024214,36.8440771,"GZ","1","full","light","no rain","Drinking","hoof","green with some brown","Cynodon dactylon","Pennisetum mezzianum","Pennisetum stramineum","Cynodon nlemfuensis","light","1960","2003","8","","8","","","","","","","","","","","2.3e-05","0.000645715","300",0.4314,0.2583,"2021","6","3","13","14","Impala","","","4"
"6/3/21","2","DSCN2517","1","1322",0.483220847,36.8394061,"GZ","0","full","light","no rain","Grazing","belly","green with some brown","Cenchrus ciliaris","Pennisetum mezzianum","Cynodon nlemfuensis","Cynodon dactylon","light","2004","2017","4","","4","","","","","","","","","","","0.001644963","0.005460265","300",0.4143,0.2413,"2021","6","3","13","22","Giraffe","","","4"
"6/3/21","2","DSCN2517","2","1328",0.48578593,36.83735492,"GZ","0","full","light","no rain","Grazing","belly","green with some brown","Cenchrus ciliaris","Pennisetum mezzianum","Pennisetum stramineum","Themeda triandra","light","2018","2022","2","","","","1","","","","1","","","","","0.004854869","0.00799373","220",0.4481,0.2654,"2021","6","3","13","28","","","","4"
"6/3/21","2","DSCN2517","3","1345",0.501811998,36.85066333,"GZ","0","full","light","no rain","Drinking","hock","green with some brown","Cynodon plectostachyus","Cynodon dactylon","Pennisetum mezzianum","Pennisetum stramineum","medium","2023","2044","5","","","3","","1","","1","","","","","","0.003377041","0.000314617","150",0.449,0.2764,"2021","6","3","13","45","","","","4"
"6/3/21","2","DSCN2518","1","1404",0.474282615,36.84896837,"GZ","0","full","light","no rain","Walking","hock","green","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum mezzianum","Pennisetum stramineum","light","2045","2048","6","1","5","","","","","","","","","","","0.001052189","0.003837589","100",0.4528,0.2649,"2021","6","3","14","4","","","","4"
"6/4/21","1","DSCN2507","1","1025",0.452792203,36.83933094,"PZ","0","full","light","no rain","Grazing","hock","brown with some green","Pennisetum mezzianum","Cynodon plectostachyus","Pennisetum stramineum","","thick","2053","2071","6","1","","","1","3","","","1","","","","","0.002614454","0.008084535","250",0.3591,0.2047,"2021","6","4","10","25","Giraffe","","","3"
"6/4/21","1","DSCN2507","2","1045",0.477839068,36.82977621,"GZ","0","full","light","no rain","Grazing","belly","brown with some green","Pennisetum stramineum","Pennisetum mezzianum","Cynodon plectostachyus","Chloris roxburghiana","medium","2072","2126","10","","","1","","3","","6","","","","","","0.003089885","0.013580381","80",0.4642,0.2708,"2021","6","4","10","45","Cattle","","","4"
"6/4/21","1","DSCN2507","3","1102",0.482575779,36.83464424,"GZ","1","full","light","no rain","Walking","hock","brown with some green","Pennisetum stramineum","Enteropogon macrostachyus","Pennisetum mezzianum","Cynodon plectostachyus","light","2127","2184","8","1","7","","","","","","","","","","","0.00496521","0.00998898","300",0.4559,0.2669,"2021","6","4","11","2","","","","4"
