"Date","Loop","Whitesheet.Filename","Whitesheet.Entry.Number","Time","Latitude","Longitude","Species","Multispecies","Sun","Wind","Rain","Activity","Grass.height","Grass.color","Grass.spp.1","Grass.spp.2","Grass.spp.3","Grass.spp.4","Bush.type","Photos.begin","Photos.end","Total.animals","Male..T.","Male..B.","Female..NL.","Female..L.","Female..P.","X2.year.old","X1.year.old","X6.12.months.old","X3.6.months.old","X1.3.months.old","X0.1.months.old","Notes","Distance.from.water","Distance.from.cattle","Closest.mob.size","QuickSpecies","Year","Month","Day","Hour","Minute","Other.species.1","Other.species.2","Other.species.3","Number.grasses","NDVI","EVI","Primary.habitat","Secondary.habitat","Tertiary.habitat","Distance.secondary","Distance.tertiary"
"6/25/21","1","DSCN5579","2","1039",0.480249283,36.84417399,"CC","","full","light","no rain","Grazing","hoof","brown","Cynodon nlemfuensis","Pennisetum stramineum","Pennisetum mezzianum","","medium","","","20","","","","","","","","","","","","","","","","Cattle","2021","6","25","10","39","","","","3",0.4314,0.2583,"MB","LB","MB",2.8505123643021e-08,4.88748328285116e-08
"6/28/21","1","DSCN5580","3","1215",0.462005132,36.84030864,"Cattle","","full","strong","no rain","Grazing","belly","brown with some green","Cenchrus ciliaris","Pennisetum stramineum","Cynodon nlemfuensis","Enteropogon macrostachyus","light","","","200","","","","","","","","","","","","Lima 3","","","","Cattle","2021","6","28","12","15","","","","4",0.3903,0.2274,"OB","OB","LB",5.11777603951667e-08,7.16220273879605e-08
"6/28/21","2","DSCN7830","2","1032",0.494227009,36.8411039,"Cattle","","full","medium","no rain","Grazing","hock","brown","Pennisetum mezzianum","Pennisetum stramineum","Themeda triandra","Cynodon plectostachyus","light","","","344","","","","","","","","","","","","Lima 1","","","","Cattle","2021","6","28","10","32","","","","4",0.4376,0.2674,"LB","LB","LB",2.62059595891643e-08,7.47474183137228e-08
"6/29/21","1","DSCN0531","1","1028",0.448910279,36.84308414,"CC","","full","light","no rain","Grazing","hoof","brown","Cynodon nlemfuensis","Pennisetum mezzianum","","","medium","","","300","","","","","","","","","","","","Lol Patai","","","","Cattle","2021","6","29","10","28","","","","2",0.3643,0.204,"LB","LB","MB",4.22648829949883e-08,4.66324381484498e-08
"6/29/21","1","DSCN0531","2","1037",0.453009512,36.8404217,"CC","","full","medium","no rain","Grazing","hoof","brown","Cynodon dactylon","Enteropogon macrostachyus","Pennisetum mezzianum","Cynodon plectostachyus","medium","","","140","","","","","","","","","","","","Lelasung'e","","","","Cattle","2021","6","29","10","37","","","","4",0.3839,0.2227,"LB","MB","MB",3.27988661273236e-08,4.15332590142395e-08
"6/29/21","1","DSCN0531","3","1044",0.461981143,36.84051746,"CC","","full","light","no rain","Grazing","hock","brown","Pennisetum stramineum","Pennisetum mezzianum","Cynodon plectostachyus","Microchloa kunthii","","","","180","","","","","","","","","","","","Lokyi","","","","Cattle","2021","6","29","10","44","Elephant ","","","4",0.3903,0.2274,"OB","OB","OB",4.52396016535671e-08,4.59107353538093e-08
"6/29/21","1","DSCN0533","1","1144",0.465138546,36.82820459,"Cattle","","part","light","no rain","Grazing","hock","brown","Cynodon nlemfuensis","Chloris roxburghiana","Cynodon plectostachyus","Pennisetum mezzianum","medium","","","400","","","","","","","","","","","","Lima 4","","","","Cattle","2021","6","29","11","44","","","","4",0.451,0.2787,NA,NA,NA,2.10112430067927e-08,7.91339293836324e-08
"6/3/21","2","DSCN2513","1","1020",0.468911959,36.85907079,"PZ","0","full","light","no rain","Standing","hock","green with some brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum mezzianum","Enteropogon macrostachyus","light","1454","1477","12","1","","","","","","1","","","","","","0.005377905","0.000848896","120","PZ","2021","6","3","10","20","","","","4",0.4452,0.2642,"OB","LB","LB",3.21907698591035e-08,4.2029449400128e-08
"6/3/21","2","DSCN2513","2","1025",0.47077494,36.85956264,"GZ","0","full","light","no rain","Walking","hock","green with some brown","Chloris roxburghiana","Cynodon plectostachyus","Enteropogon macrostachyus","Cynodon nlemfuensis","light","1478","1527","14","1","","5","1","","","3","1","2","","","Outside study area","0.003862279","0.002772158","120","GZ","2021","6","3","10","25","Elephant","","","4",0.4452,0.2642,"LB","LB","LB",3.45656268266871e-08,4.09439775785851e-08
"6/3/21","2","DSCN2513","3","1046",0.472146249,36.85981476,"PZ","1","full","light","","Grazing","hoof","green with some brown","Cynodon nlemfuensis","Digitaria macroblefara","Pennisetum stramineum","Pennisetum mezzianum","light","1528","1566","23","2","","1","4","","","1","1","2","","","","0.003166762","0.004160854","120","PZ","2021","6","3","10","46","Impala","","","4",0.4548,0.2713,"MB","LB","MB",2.98819147332429e-08,4.57156634908539e-08
"6/3/21","2","DSCN2513","3","1046",0.472146249,36.85981476,"GZ","1","full","light","","Grazing","hoof","green with some brown","Cynodon nlemfuensis","Digitaria macroblefara","Pennisetum stramineum","Pennisetum mezzianum","light","1567","1566","3","","2","","","","","","","","","","","0.003166762","0.004160854","120","GZ","2021","6","3","10","46","Impala","","","4",0.4548,0.2713,"MB","LB","MB",2.98819147332429e-08,4.57156634908539e-08
"6/3/21","2","DSCN2514","1","1055",0.476648303,36.85996747,"PZ","1","full","light","no rain","Grazing","hock","green with some brown","Cynodon plectostachyus","Pennisetum mezzianum","Pennisetum stramineum","Enteropogon macrostachyus","light","1567","1602","10","1","","2","3","","","1","1","1","1","","","0.002698877","0.001114358","300","PZ","2021","6","3","10","55","Impala","","","4",0.4391,0.2624,"LB","LB","OB",4.98335446840563e-08,6.4629456942631e-08
"6/3/21","2","DSCN2514","1","1055",0.476648303,36.85996747,"GZ","1","full","light","no rain","Grazing","hock","green with some brown","Cynodon plectostachyus","Pennisetum mezzianum","Pennisetum stramineum","Enteropogon macrostachyus","light","1567","1602","7","1","","1","1","","11","1","1","","","","","0.002698877","0.001114358","300","GZ","2021","6","3","10","55","Impala","","","4",0.4391,0.2624,"LB","LB","OB",4.98335446840563e-08,6.4629456942631e-08
"6/3/21","2","DSCN2514","2","1103",0.478243289,36.8614674,"PZ","0","full","light","no rain","Grazing","hock","brown with some green","Cynodon nlemfuensis","Cynodon plectostachyus","Enteropogon macrostachyus","Enteropogon macrostachyus","light","1603","1624","12","2","2","","7","","","","1","3","2","","","0.001305914","0.002049554","300","PZ","2021","6","3","11","3","Giraffe","","","4",0.4681,0.2878,"OB","OB","OB",1.93235652754369e-08,7.73356145126323e-08
"6/3/21","2","DSCN2514","3","1116",0.470072435,36.86202857,"PZ","0","full","light","no rain","Walking","hoof","brown with some green","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","Pennisetum mezzianum","open grassland","1625","1697","33","3","","8","10","1","","1","3","4","3","","Photos up to 1741, see sheet for additional info","0.002729917","0.003802694","120","PZ","2021","6","3","11","16","Eland"," Giraffe","","4",0.4025,0.2364,"MB","OB","MB",2.77175389049736e-08,5.66429917197243e-08
"6/3/21","2","DSCN2515","1","1126",0.478855584,36.86247627,"GZ","0","full","light","no rain","Grazing","hoof","green","Digitaria macroblefara","Pennisetum mezzianum","Pennisetum stramineum","Microchloa kunthii","medium","1698","1787","17","1","2","2","4","2","","1","1","2","2","","","0.000423811","0.003204927","300","GZ","2021","6","3","11","26","","","","4",0.4681,0.2878,"OB","OB","LB",3.33089618036631e-08,5.20566087746585e-08
"6/3/21","2","DSCN2515","2","1137",0.04600112,36.85658199,"GZ","0","full","light","no rain","Walking","hoof","brown with some green","Cynodon plectostachyus","Pennisetum mezzianum","Cynodon nlemfuensis","Cyperus","light","1788","1816","5","0","1","","2","","","","","1","1","","","0.208812658","0.410351331","250","GZ","2021","6","3","11","37","Eland"," Impala","","4",0.4146,0.1835,NA,NA,NA,0.0506140882901791,0.0506141942247588
"6/3/21","2","DSCN2515","3","1148",0.50163067,36.85006329,"GZ","0","full","light","no rain","Standing","hock","green with some brown","Cynodon plectostachyus","Pennisetum mezzianum","Pennisetum stramineum","Microchloa kunthii","medium","1817","1820","1","1","","","","","","","","","","","","0.002762051","0.000696026","150","GZ","2021","6","3","11","48","Elephant","","","4",0.449,0.2764,"LB","LB","LB",5.0429794688482e-08,5.79440976700384e-08
"6/3/21","2","DSCN2516","1","1158",0.497019943,36.83998142,"GZ","0","full","light","no rain","Grazing","hock","green with some brown","Cenchrus ciliaris","Enteropogon macrostachyus","Chloris roxburghiana","Cynodon plectostachyus","light","1821","1891","20","1","","10","","4","4","1","","","","","","0.003993581","0.003605213","240","GZ","2021","6","3","11","58","Impala","","","4",0.3994,0.2444,"OB","OB","OB",4.65331007155458e-08,4.66999717726446e-08
"6/3/21","2","DSCN2516","2","1302",0.47880626,36.84758671,"PZ","0","full","light","no rain","Grazing","hock","green with some brown","Cynodon nlemfuensis","Pennisetum mezzianum","Enteropogon macrostachyus","Cynodon plectostachyus","light","1892","1959","20","3","1","4","6","3","1","","2","3","","1","","0.002080663","0.004007417","300","PZ","2021","6","3","13","2","Elephant","","","4",0.4553,0.2709,"MB","LB","MB",4.8574310941772e-08,7.30673116641121e-08
