"Multispecies","Photos.begin","Photos.end","Mpala.North","Notes","Latitude","Longitude","Year","Month","Day","Hour","Minute","Space","Equus","Species.binomial","alive","Space.1","Adult","Activity","Grass.height","Grass.color","Grass.spp.1","Grass.spp.2","Grass.spp.3","Bush.type","Space.2","Other.species.1","Other.species.2","Other.species.3","Rain","Sun","Wind","Space.3","Space.4","Total.zebras","Number.grasses","Space.5","Space.6","Space.7","Number.grazing","Space.8","Number.standing","Number.walking","Space.9","Number.drinking","Space.10","Space.11","Space.12","Number.resting","Space.13","Space.14","Whitesheet.Filename"
"","","","Mpala.North","","0.477660938","36.85950232","2021","6","15","9","30","","Equus","Cattle","alive","","Adult","Grazing","< hock","green with some brown","Cynodon dactylon","Cynodon plectostachyus","Chloris roxburghiana","light","","","","","no rain","full","light","","","300","4","","","","300","","","","","","","","","","","","DSCN6973"
"","","","Mpala.North","","0.485785825","36.84534865","2021","6","15","10","39","","Equus","Cattle","alive","","Adult","Grazing","< hock","brown with some green","Cynodon plectostachyus","Pennisetum stramineum","Digitaria macroblefara","medium","","","","","no rain","full","medium","","","220","4","","","","220","","","","","","","","","","","","DSCN6974"
"","","","Mpala.North","","0.500134224","36.85173496","2021","6","16","12","13","","Equus","Cattle","alive","","Adult","Grazing","< hoof","brown","Cynodon plectostachyus","Chloris roxburghiana","Eragrostis tenuifolia","light","","","","","no rain","part","no wind","","","150","3","","","","150","","","","","","","","","","","","DSCN7378"
"","","","Mpala.North","","0.502111389","36.85056664","2021","6","16","12","17","","Equus","Cattle","alive","","Adult","Drinking","< hoof","brown with some green","Cynodon dactylon","Cynodon plectostachyus","Enteropogon macrostachyus","light","","","","","no rain","full","light","","","150","4","","","","","","","","","150","","","","","","","DSCN7379"
"","","","Mpala.North","","0.494742247","36.84913502","2021","6","16","12","57","","Equus","Cattle","alive","","Adult","Walking","< hoof","brown","Cynodon plectostachyus","Eragrostis tenuifolia","Chloris roxburghiana","light","","","","","no rain","part","no wind","","","200","4","","","","","","","200","","","","","","","","","DSCN7380"
"","","","Mpala.North","","0.489298872","36.84842902","2021","6","16","13","3","","Equus","Cam","alive","","Adult","Standing","< hoof","brown","Cyperus teneristolon","Cynodon plectostachyus","Chloris virgata","light","","","","","no rain","part","no wind","","","","4","","","","","","","","","","","","","","","","DSCN7380"
"","","","Mpala.North","","0.485345348","36.85832857","2021","6","17","11","0","","Equus","Cattle","alive","","Adult","Grazing","< hoof","green with some brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","medium","","","","","no rain","full","light","","","","4","","","","","","","","","","","","","","","","DSCN7997"
"","","","Mpala.North","","0.49890006","36.85149937","2021","6","17","12","40","","Equus","Cattle","alive","","Adult","Resting","< hoof","brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","medium","","","","","no rain","full","light","","","162","3","","","","","","","","","","","","","162","","","DSCN7998"
"","","","Mpala.North","","0.49842216","36.84550815","2021","6","17","13","8","","Equus","Cattle","alive","","Adult","Grazing","< hoof","brown with some green","Pennisetum stramineum","Pennisetum mezzianum","Cynodon plectostachyus","medium","","","","","no rain","full","light","","","240","3","","","","240","","","","","","","","","","","","DSCN7998"
"","","","Mpala.North","","0.468435333","36.85156982","2021","6","18","11","4","","Equus","Cattle","alive","","Adult","Grazing","< hock","brown","Pennisetum mezzianum","Pennisetum stramineum","Cynodon plectostachyus","medium","","","","","no rain","full","light","","","240","4","","","","240","","","","","","","","","","","","DSCN7109"
"","","","Mpala.North","","0.486811836","36.8604694","2021","6","18","10","29","","Equus","Cattle","alive","","Adult","Grazing","< hock","brown","Cynodon plectostachyus","Microchloa kunthii","Pennisetum stramineum","light","","","","","no rain","full","no wind","","","200","4","","","","200","","","","","","","","","","","","DSCN7111"
"","","","Mpala.North","","0.500591593","36.84561668","2021","6","18","10","52","","Equus","Cattle","alive","","Adult","Grazing","< hoof","brown","Microchloa kunthii","Cynodon plectostachyus","Cyperus rubicundus","light","","Oryx","","","no rain","full","light","","","300","4","","","","300","","","","","","","","","","","","DSCN7112"
"","","","Mpala.North","","0.481442805","36.84456876","2021","6","18","11","21","","Equus","Cattle","alive","","Adult","Walking","< hoof","brown","Chloris virgata","Pennisetum stramineum","Cynodon dactylon","light","","","","","no rain","full","no wind","","","300","4","","","","","","","300","","","","","","","","","DSCN7113"
"","","","Mpala.North","","0.472066786","36.85210161","2021","6","18","11","27","","Equus","Cattle","alive","","Adult","Walking","< hoof","brown","Pennisetum stramineum","Pennisetum mezzianum","Enteropogon macrostachyus","light","","","","","no rain","full","no wind","","","100","4","","","","","","","100","","","","","","","","","DSCN7113"
"","","","Mpala.North","","0.462287155","36.84102734","2021","6","21","10","30","","Equus","Cattle","alive","","Adult","Grazing","< hoof","brown","Pennisetum stramineum","Eragrostis tenuifolia","Enteropogon macrostachyus","light","","","","","no rain","no sun","no wind","","","100","4","","","","100","","","","","","","","","","","","DSCN3627"
"","","","Mpala.North","","0.468119882","36.85876544","2021","6","21","10","2","","Equus","Cattle","alive","","Adult","Grazing","< hoof","green with some brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","medium","","","","","no rain","no sun","light","","","120","3","","","","120","","","","","","","","","","","","DSCN7107"
"","","","Mpala.North","","0.487642345","36.86004173","2021","6","21","10","34","","Equus","Cattle","alive","","Adult","Grazing","< hoof","brown","Cynodon nlemfuensis","Cyperus rubicundus","Pennisetum mezzianum","light","","","","","no rain","full","light","","","162","3","","","","162","","","","","","","","","","","","DSCN7108"
"","","","Mpala.North","","0.487708951","36.84743209","2021","6","21","11","29","","Equus","Cattle","alive","","Adult","Grazing","< hoof","brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum mezzianum","light","","","","","no rain","full","light","","","220","3","","","","220","","","","","","","","","","","","DSCN7108"
"","","","Mpala.North","Ngaremata Dam Area, Mpala cattle","0.481162289","36.84088194","2021","6","22","9","27","","Equus","Mpala Cattle","alive","","Adult","Grazing","< hock","brown with some green","Cynodon plectostachyus","Pennisetum stramineum","Enteropogon macrostachyus","medium","","","","","no rain","full","light","","","120","3","","","","120","","","","","","","","","","","","DSCN8000"
"","","","Mpala.North","Ngaremata Dam Area, Mpala cattle","0.478734676","36.84456276","2021","6","22","9","51","","Equus","Mpala Cattle","alive","","Adult","Grazing","< hock","brown with some green","Pennisetum stramineum","Cynodon nlemfuensis","Enteropogon macrostachyus","medium","","","","","","full","","","","100","4","","","","100","","","","","","","","","","","","DSCN8000"
"","","","Mpala.North","Rongai Area, Mpala Cattle","0.472788775","36.84103295","2021","6","22","9","56","","Equus","Mpala Cattle","alive","","Adult","Grazing","< belly","brown with some green","Enteropogon macrostachyus","Cenchrus ciliaris","Cynodon plectostachyus","medium","","","","","no rain","full","light","","","150","4","","","","150","","","","","","","","","","","","DSCN8000"
"","","","Mpala.North","","0.472049501","36.85156438","2021","6","22","11","39","","Equus","Community Cattle","alive","","Adult","Grazing","< hock","","Cenchrus ciliaris","Pennisetum stramineum","Pennisetum mezzianum","thick","","","","","no rain","full","light","","","160","4","","","","160","","","","","","","","","","","","DSCN8002"
"","","","Mpala.North","","0.460097277","36.84117812","2021","6","23","11","59","","Equus","Cattle","alive","","Adult","Grazing","< hock","brown with some green","Pennisetum mezzianum","Cenchrus ciliaris","Cymbopogon pospischilii","light","","","","","no rain","full","light","","","140","4","","","","140","","","","","","","","","","","","DSCN8262"
"","","","Mpala.North","Lima 5","0.486164181","36.86209384","2021","6","23","9","40","","Equus","Cattle","alive","","Adult","Grazing","< hoof","brown","Cynodon plectostachyus","Pennisetum stramineum","Cynodon nlemfuensis","light","","","","","no rain","part","light","","","170","4","","","","170","","","","","","","","","","","","DSCN8258"
"","","","Mpala.North","Lima 5","0.488524586","36.86186387","2021","6","23","9","42","","Equus","Cattle","alive","","Adult","Grazing","< hoof","brown","Pennisetum stramineum","Cynodon nlemfuensis","Pennisetum mezzianum","light","","","","","no rain","part","light","","","105","4","","","","105","","","","","","","","","","","","DSCN8258"
"","","","Mpala.North","","0.497832558","36.86732894","2021","6","23","9","55","","Equus","Community Cattle","alive","","Adult","Grazing","< hoof","brown","Cynodon nlemfuensis","Enteropogon macrostachyus","Pennisetum stramineum","light","","","","","no rain","part","light","","","50","4","","","","50","","","","","","","","","","","","DSCN8258"
"","","","Mpala.North","","0.497832558","36.86732894","2021","6","23","9","55","","Equus","Community Camels","alive","","Adult","Grazing","< hoof","brown","Cynodon nlemfuensis","Enteropogon macrostachyus","Pennisetum stramineum","light","","","","","no rain","part","light","","","20","4","","","","20","","","","","","","","","","","","DSCN8258"
"","","","Mpala.North","","0.485628297","36.86177069","2021","6","23","10","2","","Equus","Zainab Camels","alive","","Adult","Walking","< hoof","brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","light","","","","","no rain","part","light","","","160","4","","","","","","","160","","","","","","","","","DSCN8259"
"","","","Mpala.North","","0.501393021","36.85091115","2021","6","23","10","17","","Equus","Community Kaparo Cattle","alive","","Adult","Walking","< hoof","brown","Cynodon plectostachyus","Cynodon nlemfuensis","Enteropogon macrostachyus","light","","","","","no rain","part","no wind","","","80","4","","","","","","","80","","","","","","","","","DSCN8259"
"","","","Mpala.North","","0.498397601","36.84664488","2021","6","23","10","29","","Equus","Mpala Cattle","alive","","Adult","Walking","< hoof","brown","Cynodon plectostachyus","Pennisetum stramineum","Pennisetum mezzianum","light","","Impala","","","no rain","full","no wind","","","100","4","","","","","","","100","","","","","","","","","DSCN8260"
"","","","Mpala.North","","0.465796213","36.8498703","2021","6","24","12","40","","Equus","Community Cattle","alive","","Adult","Grazing","< hoof","brown","Cynodon plectostachyus","Pennisetum stramineum","Enteropogon macrostachyus","light","","","","","no rain","full","light","","","100","4","","","","100","","","","","","","","","","","","DSCN5568"
"","","","Mpala.North","","0.491447305","36.85606796","2021","6","24","10","1","","Equus","Community Kaparo Cattle","alive","","Adult","Grazing","< hock","brown","Cynodon nlemfuensis","Cynodon plectostachyus","Pennisetum stramineum","light","","","","","no rain","full","light","","","170","4","","","","170","","","","","","","","","","","","DSCN5581"
"","","","Mpala.North","","0.473562515","36.8365717","2021","6","25","10","25","","Equus","Mpala Cattle","alive","","Adult","Grazing","< hoof","brown","Cynodon nlemfuensis","Pennisetum mezzianum","Pennisetum stramineum","light","","","","","no rain","full","light","","","345","4","","","","345","","","","","","","","","","","","DSCN5579"
"","","","Mpala.North","","0.480249283","36.84417399","2021","6","25","10","39","","Equus","Community Cattle","alive","","Adult","Grazing","< hoof","brown","Cynodon nlemfuensis","Pennisetum stramineum","Pennisetum mezzianum","medium","","","","","no rain","full","light","","","20","3","","","","20","","","","","","","","","","","","DSCN5579"
"","","","Mpala.North","Lima 3","0.462005132","36.84030864","2021","6","28","12","15","","Equus","Cattle","alive","","Adult","Grazing","< belly","brown with some green","Cenchrus ciliaris","Pennisetum stramineum","Cynodon nlemfuensis","light","","","","","no rain","full","strong","","","200","4","","","","200","","","","","","","","","","","","DSCN5580"
"","","","Mpala.North","Lima 1","0.494227009","36.8411039","2021","6","28","10","32","","Equus","Cattle","alive","","Adult","Grazing","< hock","brown","Pennisetum mezzianum","Pennisetum stramineum","Themeda triandra","light","","","","","no rain","full","medium","","","344","4","","","","344","","","","","","","","","","","","DSCN7830"
"","","","Mpala.North","Lol Patai","0.448910279","36.84308414","2021","6","29","10","28","","Equus","Community Cattle","alive","","Adult","Grazing","< hoof","brown","Cynodon nlemfuensis","Pennisetum mezzianum","","medium","","","","","no rain","full","light","","","300","2","","","","300","","","","","","","","","","","","DSCN0531"
"","","","Mpala.North","Lelasung'e","0.453009512","36.8404217","2021","6","29","10","37","","Equus","Community Cattle","alive","","Adult","Grazing","< hoof","brown","Cynodon dactylon","Enteropogon macrostachyus","Pennisetum mezzianum","medium","","","","","no rain","full","medium","","","140","4","","","","140","","","","","","","","","","","","DSCN0531"
"","","","Mpala.North","Lokyi","0.461981143","36.84051746","2021","6","29","10","44","","Equus","Community Cattle","alive","","Adult","Grazing","< hock","brown","Pennisetum stramineum","Pennisetum mezzianum","Cynodon plectostachyus","","","Elephant ","","","no rain","full","light","","","180","4","","","","180","","","","","","","","","","","","DSCN0531"
"","","","Mpala.North","Lima 4","0.465138546","36.82820459","2021","6","29","11","44","","Equus","Cattle","alive","","Adult","Grazing","< hock","brown","Cynodon nlemfuensis","Chloris roxburghiana","Cynodon plectostachyus","medium","","","","","no rain","part","light","","","400","4","","","","400","","","","","","","","","","","","DSCN0533"
"","","","Mpala.North","Going to drink water","0.492616171","36.83633968","2021","6","29","12","47","","Equus","Community Kaparo Cattle","alive","","Adult","Walking","< hoof","brown","Cynodon nlemfuensis","Cenchrus ciliaris","Chloris roxburghiana","light","","","","","no rain","full","light","","","227","4","","","","","","","227","","","","","","","","","DSCN0529"
"","","","Mpala.North","Gwaso Marok River","0.502277014","36.85366034","2021","6","29","12","0","","Equus","Community Kaparo Cattle","alive","","Adult","Grazing","< hoof","brown with some green","Pennisetum stramineum","Cynodon plectostachyus","Microchloa kunthii","light","","","","","no rain","full","no wind","","","120","3","","","","120","","","","","","","","","","","","DSCN4386"
"","","","Mpala.North","Gwaso Marok River","0.502277014","36.85366034","2021","6","29","12","0","","Equus","SH","alive","","Adult","Grazing","< hoof","brown with some green","Pennisetum stramineum","Cynodon plectostachyus","Microchloa kunthii","light","","","","","no rain","full","no wind","","","","3","","","","","","","","","","","","","","","","DSCN4386"
"","","","Mpala.North","","0.514767512","36.86040367","2021","6","29","12","9","","Equus","Zainab Camels","alive","","Adult","Grazing","< hock","brown with some green","Cynodon plectostachyus","Cynodon nlemfuensis","","medium","","","","","no rain","full","light","","","40","2","","","","40","","","","","","","","","","","","DSCN4386"
"","","","Mpala.North","Gwaso Marok River","0.517726328","36.85975491","2021","6","29","12","13","","Equus","Kaparo","alive","","Adult","Grazing","< hock","brown with some green","Cynodon plectostachyus","Microchloa kunthii","Cynodon nlemfuensis","light","","","","","no rain","part","light","","","110","3","","","","110","","","","","","","","","","","","DSCN4386"
"","","","Mpala.North","","0.521004218","36.86201248","2021","6","29","12","17","","Equus","Kaparo","alive","","Adult","Grazing","Lh","brown with some green","Cynodon nlemfuensis","Microchloa kunthii","Cynodon plectostachyus","light","","","","","no rain","full","light","","","25","4","","","","25","","","","","","","","","","","","DSCN4387"
"","","","Mpala.North","Ewaso Nyino River","0.515580771","36.86538213","2021","6","29","12","36","","Equus","Kaparo","alive","","Adult","Grazing","Lh","brown","Cynodon plectostachyus","Microchloa kunthii","","open grassland","","Donkey","","","no rain","full","no wind","","","42","2","","","","42","","","","","","","","","","","","DSCN4387"
"","","","Mpala.North","","0.514661975","36.86199588","2021","6","29","12","40","","Equus","Kaparo","alive","","Adult","Walking","Lh","brown","Cynodon plectostachyus","Cynodon nlemfuensis","","light","","","","","no rain","full","no wind","","","13","2","","","","","","","13","","","","","","","","","DSCN4387"
"","","","Mpala.North","","0.511466659","36.86276757","2021","6","29","12","43","","Equus","Zainab Camels","alive","","Adult","Walking","Lh","brown","Cynodon plectostachyus","Cynodon nlemfuensis","","light","","","","","no rain","full","no wind","","","18","2","","","","","","","18","","","","","","","","","DSCN4387"
"","","","Mpala.North","Ewaso Nyino River","0.521032047","36.8620076","2021","6","29","12","17","","Equus","Community Cattle","alive","","Adult","Grazing","< hock","brown with some green","Cynodon nlemfuensis","Microchloa kunthii","Cynodon plectostachyus","light","","","","","no rain","full","light","","","25","4","","","","25","","","","","","","","","","","","DSCN4388"
"","","","Mpala.North","Ewaso Nyino River","0.515580497","36.86457385","2021","6","29","12","36","","Equus","Community Cattle","alive","","Adult","Grazing","< hock","brown","Cynodon plectostachyus","Microchloa kunthii","","","","Donkey","","","no rain","full","no wind","","","42","2","","","","42","","","","","","","","","","","","DSCN4388"
"","","","Mpala.North","Calves","0.514661975","36.86199588","2021","6","29","12","40","","Equus","CC","alive","","Adult","Walking","< hoof","brown","Cynodon plectostachyus","Cynodon nlemfuensis","","light","","","","","no rain","full","no wind","","","13","2","","","","","","","13","","","","","","","","","DSCN4388"
"","","","Mpala.North","Ewaso Nyino River","0.511623953","36.86365196","2021","6","29","12","43","","Equus","ZC","alive","","Adult","Grazing","< hoof","brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","light","","","","","no rain","full","no wind","","","102","3","","","","102","","","","","","","","","","","","DSCN4389"
"","","","Mpala.North","","0.505489317","36.86030538","2021","6","29","12","45","","Equus","CC","alive","","Adult","Grazing","< hoof","brown with some green","Cynodon plectostachyus","Microchloa kunthii","Cynodon nlemfuensis","LB ","","","","","no rain","full","light","","","40","3","","","","40","","","","","","","","","","","","DSCN4389"
"","","","Mpala.North","Ewaso Nyino River","0.507762863","36.87305937","2021","6","29","12","58","","Equus","Community Camels","alive","","Adult","Grazing","< hoof","brown with some green","Pennisetum stramineum","Cynodon nlemfuensis","Cynodon plectostachyus","light","","","","","no rain","part","light","","","2","3","","","","2","","","","","","","","","","","","DSCN4389"
"","","","Mpala.North","Boundary Area","0.494989508","36.86488283","2021","6","29","13","14","","Equus","ZC","alive","","Adult","Grazing","< hoof","brown","Cynodon plectostachyus","Cynodon nlemfuensis","","medium","","","","","no rain","full","light","","","80","2","","","","80","","","","","","","","","","","","DSCN4390"
"","","","Mpala.North","Uhun Exclosure North Area","0.475984335","36.87450618","2021","6","29","10","7","","Equus","CC","alive","","Adult","Grazing","< hock","brown with some green","Cynodon plectostachyus","Pennisetum stramineum","Cynodon nlemfuensis","medium","","","","","no rain","full","light","","","10","3","","","","10","","","","","","","","","","","","DSCN4391"
"","","","Mpala.North","Uhun Exclosure North Area","0.477802792","36.87658908","2021","6","29","10","10","","Equus","CC","alive","","Adult","Grazing","< hock","brown with some green","Pennisetum stramineum","Pennisetum mezzianum","Cynodon plectostachyus","light","","","","","no rain","full","light","","","15","4","","","","15","","","","","","","","","","","","DSCN4391"
"","","","Mpala.North","Near Ewaso Nyino River","0.478866523","36.88389324","2021","6","29","10","15","","Equus","CC","alive","","Adult","Grazing","< hoof","brown","Cynodon plectostachyus","Cynodon nlemfuensis","Microchloa kunthii","light","","","","","no rain","full","light","","","15","3","","","","15","","","","","","","","","","","","DSCN4391"
"","","","Mpala.North","Ewaso Nyino River","0.478849995","36.88723737","2021","6","29","10","21","","Equus","CC","alive","","Adult","Grazing","< hock","brown","Cynodon plectostachyus","Pennisetum stramineum","Pennisetum mezzianum","light","","Donkey","","","no rain","full","light","","","2","4","","","","2","","","","","","","","","","","","DSCN4392"
"","","","Mpala.North","Ewaso Nyino River","0.478849995","36.88723737","2021","6","29","10","21","","Equus","SH","alive","","Adult","Grazing","< hock","brown","Cynodon plectostachyus","Pennisetum stramineum","Pennisetum mezzianum","light","","Donkey","","","no rain","full","light","","","5","4","","","","5","","","","","","","","","","","","DSCN4392"
"","","","Mpala.North","Ewaso Nyino River","0.482437009","36.88813939","2021","6","29","10","25","","Equus","ZC","alive","","Adult","Grazing","< hoof","","Pennisetum mezzianum","Pennisetum stramineum","Cynodon plectostachyus","medium","","Goat"," Donkey","","no rain","full","light","","","28","3","","","","28","","","","","","","","","","","","DSCN4392"
"","","","Mpala.North","Uhun Exclosure North Area","0.482437009","36.88813939","2021","6","29","10","25","","Equus","SH","alive","","Adult","Grazing","< hoof","","Pennisetum mezzianum","Pennisetum stramineum","Cynodon plectostachyus","medium","","Goat"," Donkey","","no rain","full","light","","","50","3","","","","50","","","","","","","","","","","","DSCN4392"
"","","","Mpala.North","Tower Area","0.467101274","57.56506265","2021","6","29","11","0","","Equus","CC","alive","","Adult","Grazing","< belly","brown with some green","Pennisetum stramineum","Cynodon nlemfuensis","","medium","","","","","no rain","full","light","","","5","2","","","","5","","","","","","","","","","","","DSCN4394"
"","","","Mpala.North","Ewaso Nyino River","0.467101274","57.56506265","2021","6","29","11","0","","Equus","Community Camels","alive","","Adult","Grazing","< belly","brown with some green","Pennisetum stramineum","Cynodon nlemfuensis","","medium","","","","","no rain","full","light","","","10","2","","","","10","","","","","","","","","","","","DSCN4394"
"","","","Mpala.North","Near Ewaso Nyino River","0.497166721","36.8792869","2021","6","29","11","7","","Equus","Community Camels","alive","","Adult","Grazing","< hock","brown with some green","Cynodon plectostachyus","Pennisetum stramineum","","thick","","","","","no rain","full","no wind","","","20","2","","","","20","","","","","","","","","","","","DSCN4394"
"","","","Mpala.North","Near Ewaso Nyino River, Calves","0.505621484","36.87467912","2021","6","29","11","14","","Equus","CC","alive","","Adult","Grazing","< hoof","brown","Cynodon plectostachyus","Cynodon nlemfuensis","Microchloa kunthii","medium","","Goat","","","no rain","full","no wind","","","5","3","","","","5","","","","","","","","","","","","DSCN4394"
"","","","Mpala.North","Boma","0.501741145","36.8719105","2021","6","29","11","18","","Equus","CC","alive","","Adult","Resting","< hoof","brown","Cynodon plectostachyus","Cynodon nlemfuensis","","light","","","","","no rain","full","light","","","20","2","","","","","","","","","","","","","20","","","DSCN4395"
"","","","Mpala.North","","0.491662155","36.86341092","2021","6","29","11","25","","Equus","ZC","alive","","Adult","Grazing","< hock","","Pennisetum stramineum","Cynodon plectostachyus","Cynodon nlemfuensis","medium","","","","","no rain","full","light","","","120","4","","","","120","","","","","","","","","","","","DSCN4395"
"","","","Mpala.North","Daraboi Area","0.472208849","36.85899791","2021","6","29","11","40","","Equus","Cattle","alive","","Adult","Grazing","< hock","brown with some green","Bothriochloa insculpta","Cynodon plectostachyus","Pennisetum stramineum","medium","","","","","no rain","full","light","","","80","4","","","","80","","","","","","","","","","","","DSCN4396"
"","","","Mpala.North","Gwaso Marok River ","0.507529207","36.85333764","2021","6","30","12","10","","Equus","ZC","alive","","Adult","Grazing","< hock","brown with some green","Pennisetum stramineum","Cynodon nlemfuensis","Cynodon plectostachyus","medium","","","","","no rain","full","no wind","","","120","3","","","","120","","","","","","","","","","","","DSCN4191"
"","","","Mpala.North","","0.509280026","36.85442273","2021","6","30","12","13","","Equus","Putonois Cattle","alive","","Adult","Grazing","< hoof","brown","Pennisetum stramineum","Cynodon plectostachyus","Cynodon nlemfuensis","light","","","","","no rain","full","light","","","60","3","","","","60","","","","","","","","","","","","DSCN4191"
"","","","Mpala.North","","0.512657416","36.85618674","2021","6","30","12","18","","Equus","Cattle","alive","","Adult","Grazing","< hock","brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","LB ","","","","","no rain","full","no wind","","","50","3","","","","50","","","","","","","","","","","","DSCN4191"
"","","","Mpala.North","","0.512657416","36.85618674","2021","6","30","12","18","","Equus","Camel","alive","","Adult","Grazing","< hock","brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","light","","","","","no rain","full","no wind","","","70","3","","","","70","","","","","","","","","","","","DSCN4191"
"","","","Mpala.North","Ewaso Nyino River","0.512499682","36.86561544","2021","6","30","12","34","","Equus","CKC","alive","","Adult","Grazing","< hoof","brown with some green","Cynodon plectostachyus","Cynodon nlemfuensis","Microchloa kunthii","medium","","","","","no rain","part","light","","","50","3","","","","50","","","","","","","","","","","","DSCN4192"
"","","","Mpala.North","","0.512499682","36.86561544","2021","6","30","12","34","","Equus","Community Camels","alive","","Adult","Grazing","< hoof","brown with some green","Cynodon plectostachyus","Cynodon nlemfuensis","Microchloa kunthii","medium","","","","","no rain","part","light","","","130","3","","","","130","","","","","","","","","","","","DSCN4192"
"","","","Mpala.North","","0.505606002","36.86995671","2021","6","30","12","46","","Equus","ZC","alive","","Adult","Grazing","< hock","brown","Cynodon plectostachyus","Pennisetum stramineum","Cynodon nlemfuensis","medium","","","","","no rain","full","light","","","44","4","","","","44","","","","","","","","","","","","DSCN4192"
"","","","Mpala.North","","0.506939905","36.87239007","2021","6","30","12","51","","Equus","CC","alive","","Adult","Grazing","< hock","brown","Cynodon plectostachyus","Pennisetum stramineum","Cynodon nlemfuensis","light","","","","","no rain","full","light","","","20","3","","","","20","","","","","","","","","","","","DSCN4192"
"","","","Mpala.North","","0.47866144","36.88442624","2021","6","30","9","54","","Equus","CC","alive","","Adult","Grazing","< hock","brown","Cynodon plectostachyus","Cynodon nlemfuensis","Microchloa kunthii","medium","","Donkey","","","no rain","full","no wind","","","10","4","","","","10","","","","","","","","","","","","DSCN4194"
